Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_24_657.jpg,0,0,0,0,99.66999,85.58902,0.000229597,60.39426,-2.768902E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_24_723.jpg,0,0,0,0,99.66999,85.58902,0.0002297624,60.39426,-2.747972E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_24_789.jpg,0,0,0,0,99.66999,85.58902,0.0002299084,60.39426,-2.677884E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_24_855.jpg,0,0,0,0,99.66999,85.58902,0.0002301457,60.39426,-2.517072E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_24_922.jpg,0,0,0,0,99.66999,85.58902,0.0002302526,60.39426,-2.348669E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_24_989.jpg,0,0,0,0,99.66999,85.58902,0.0002307859,60.39426,-2.174519E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_25_055.jpg,0,0,0,0,99.66999,85.58902,0.0002318778,60.39426,-1.919373E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_25_122.jpg,0,0,0,0,99.66999,85.58902,0.0002330651,60.39426,-1.700341E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_25_188.jpg,0,0,0,0,99.66999,85.58902,0.0002344589,60.39426,-1.475855E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_25_261.jpg,0,0,0,0,99.66999,85.58902,0.0002355371,60.39426,-1.215551E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_25_321.jpg,0,0,0,0,99.66999,85.58902,0.0002363799,60.39426,-1.03322E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_25_388.jpg,0,0,0,0,99.66999,85.58902,0.0002372091,60.39426,-8.457298E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_25_454.jpg,0,0,0,0,99.66999,85.58902,0.0002382601,60.39426,-5.751077E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_25_521.jpg,-2.011944,0,0,0,99.66999,85.58902,0.0002398457,60.15285,-2.013187E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_25_589.jpg,-6.061208,0,0,0,99.66999,85.58902,0.0002404128,59.30645,3.674427E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_25_640.jpg,-9.061264,0,0,0,99.66999,85.58902,0.00024054,57.73587,1.269288E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_25_705.jpg,-5.120128,0,0,0,99.66999,85.58902,0.0002400447,56.70092,1.809566E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_25_771.jpg,-9.14717,0,0,0,99.66999,85.58902,0.0002402297,55.29372,2.419375E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_25_838.jpg,-5.135139,0,0,0,99.66999,85.58902,0.000239222,53.81832,2.964607E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_25_909.jpg,-1.168266,0,0,0,99.66999,85.58902,0.0002400478,53.48951,2.956556E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_25_955.jpg,0,0,0,0,99.66999,85.58902,0.000239332,53.48951,2.730665E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_005.jpg,0,0,0,0,99.66999,85.58902,0.0002388032,53.48951,2.550276E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_054.jpg,0,0,0,0,99.66999,85.58902,0.0002382713,53.48951,2.268643E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_105.jpg,0,0,0,0,99.66999,85.58902,0.0002378428,53.48951,2.057849E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_154.jpg,0,0,0,0,99.66999,85.58902,0.0002374613,53.48951,1.730607E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_205.jpg,0,0,0,0,99.66999,85.58902,0.0002372011,53.48951,1.502886E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_254.jpg,0,0,0,0,99.66999,85.58902,0.0002367172,53.48951,1.138553E-05
